date,date_id,year,month,day
2024-01-01 10:31:55.209000-06:00,1,2024,1,1
2024-01-01 17:22:37.847000-06:00,2,2024,1,1
2024-01-01 18:49:55.209000-06:00,3,2024,1,1
2024-01-02 01:28:37.847000-06:00,4,2024,1,2
2024-01-03 00:00:00-06:00,5,2024,1,3
2024-01-03 16:23:44.577000-06:00,6,2024,1,3
2024-01-03 21:15:44.577000-06:00,7,2024,1,3
2024-01-04 00:02:03.341000-06:00,8,2024,1,4
2024-01-04 08:28:03.341000-06:00,9,2024,1,4
2024-01-04 11:42:51.028000-06:00,10,2024,1,4
2024-01-04 15:49:17.977000-06:00,11,2024,1,4
2024-01-04 16:25:51.028000-06:00,12,2024,1,4
2024-01-05 00:00:00-06:00,13,2024,1,5
2024-01-05 00:00:17.977000-06:00,14,2024,1,5
2024-01-05 17:39:51.738000-06:00,15,2024,1,5
2024-01-06 03:15:51.738000-06:00,16,2024,1,6
2024-01-07 00:00:00-06:00,17,2024,1,7
2024-01-07 04:06:27.410000-06:00,18,2024,1,7
2024-01-07 06:15:27.410000-06:00,19,2024,1,7
2024-01-07 10:44:14.538000-06:00,20,2024,1,7
2024-01-07 19:28:14.538000-06:00,21,2024,1,7
2024-01-09 00:00:00-06:00,22,2024,1,9
2024-01-09 08:41:00.006000-06:00,23,2024,1,9
2024-01-09 14:06:00.006000-06:00,24,2024,1,9
2024-01-10 00:00:00-06:00,25,2024,1,10
2024-01-11 00:00:00-06:00,26,2024,1,11
2024-01-12 00:00:00-06:00,27,2024,1,12
2024-01-12 05:30:10.875000-06:00,28,2024,1,12
2024-01-12 07:38:05.394000-06:00,29,2024,1,12
2024-01-12 11:30:05.394000-06:00,30,2024,1,12
2024-01-12 11:49:43.814000-06:00,31,2024,1,12
2024-01-12 12:26:10.875000-06:00,32,2024,1,12
2024-01-12 19:45:43.814000-06:00,33,2024,1,12
2024-01-12 20:14:41.374000-06:00,34,2024,1,12
2024-01-13 02:27:27.312000-06:00,35,2024,1,13
2024-01-13 05:54:41.374000-06:00,36,2024,1,13
2024-01-13 07:31:27.312000-06:00,37,2024,1,13
2024-01-14 00:00:00-06:00,38,2024,1,14
2024-01-14 06:48:45.321000-06:00,39,2024,1,14
2024-01-14 07:07:29.172000-06:00,40,2024,1,14
2024-01-14 08:42:45.321000-06:00,41,2024,1,14
2024-01-14 16:06:29.172000-06:00,42,2024,1,14
2024-01-14 19:05:19.112000-06:00,43,2024,1,14
2024-01-15 04:07:19.112000-06:00,44,2024,1,15
2024-01-15 07:54:04.663000-06:00,45,2024,1,15
2024-01-15 14:50:04.663000-06:00,46,2024,1,15
2024-01-15 15:42:06.737000-06:00,47,2024,1,15
2024-01-15 23:20:06.737000-06:00,48,2024,1,15
2024-01-16 17:25:21.475000-06:00,49,2024,1,16
2024-01-16 20:00:08.323000-06:00,50,2024,1,16
2024-01-17 00:00:00-06:00,51,2024,1,17
2024-01-17 03:22:21.475000-06:00,52,2024,1,17
2024-01-17 03:47:14.405000-06:00,53,2024,1,17
2024-01-17 05:46:08.323000-06:00,54,2024,1,17
2024-01-17 09:20:14.405000-06:00,55,2024,1,17
2024-01-17 10:55:36.537000-06:00,56,2024,1,17
2024-01-17 18:04:36.537000-06:00,57,2024,1,17
2024-01-18 05:48:15.918000-06:00,58,2024,1,18
2024-01-18 10:53:15.918000-06:00,59,2024,1,18
2024-01-19 02:19:55.680000-06:00,60,2024,1,19
2024-01-19 07:03:55.680000-06:00,61,2024,1,19
2024-01-19 16:55:39.083000-06:00,62,2024,1,19
2024-01-19 20:52:39.083000-06:00,63,2024,1,19
2024-01-20 00:00:00-06:00,64,2024,1,20
2024-01-20 14:51:43.423000-06:00,65,2024,1,20
2024-01-20 19:12:43.423000-06:00,66,2024,1,20
2024-01-21 09:18:13.326000-06:00,67,2024,1,21
2024-01-21 09:34:46.017000-06:00,68,2024,1,21
2024-01-21 13:44:46.017000-06:00,69,2024,1,21
2024-01-21 16:21:13.326000-06:00,70,2024,1,21
2024-01-22 01:56:07.370000-06:00,71,2024,1,22
2024-01-22 09:22:07.370000-06:00,72,2024,1,22
2024-01-23 09:45:51.708000-06:00,73,2024,1,23
2024-01-23 14:09:51.708000-06:00,74,2024,1,23
2024-01-24 02:04:57.433000-06:00,75,2024,1,24
2024-01-24 02:40:22.195000-06:00,76,2024,1,24
2024-01-24 05:47:22.195000-06:00,77,2024,1,24
2024-01-24 11:43:57.433000-06:00,78,2024,1,24
2024-01-24 12:32:13.510000-06:00,79,2024,1,24
2024-01-24 13:22:13.510000-06:00,80,2024,1,24
2024-01-24 18:31:59.693000-06:00,81,2024,1,24
2024-01-24 23:17:52.100000-06:00,82,2024,1,24
2024-01-25 00:00:00-06:00,83,2024,1,25
2024-01-25 01:48:59.693000-06:00,84,2024,1,25
2024-01-25 04:12:52.100000-06:00,85,2024,1,25
2024-01-25 12:47:23.042000-06:00,86,2024,1,25
2024-01-25 17:03:47.415000-06:00,87,2024,1,25
2024-01-25 18:22:23.042000-06:00,88,2024,1,25
2024-01-26 02:26:47.415000-06:00,89,2024,1,26
2024-01-26 02:49:47.746000-06:00,90,2024,1,26
2024-01-26 03:50:03.583000-06:00,91,2024,1,26
2024-01-26 06:43:03.583000-06:00,92,2024,1,26
2024-01-26 08:09:47.746000-06:00,93,2024,1,26
2024-01-26 19:20:26.408000-06:00,94,2024,1,26
2024-01-26 23:23:26.408000-06:00,95,2024,1,26
2024-01-27 00:00:00-06:00,96,2024,1,27
2024-01-28 02:20:16.285000-06:00,97,2024,1,28
2024-01-28 10:39:16.285000-06:00,98,2024,1,28
2024-01-28 16:39:34.752000-06:00,99,2024,1,28
2024-01-28 20:22:14.785000-06:00,100,2024,1,28
2024-01-28 23:31:14.785000-06:00,101,2024,1,28
2024-01-28 23:39:34.752000-06:00,102,2024,1,28
2024-01-29 19:30:37.110000-06:00,103,2024,1,29
2024-01-30 01:10:33.605000-06:00,104,2024,1,30
2024-01-30 04:09:37.110000-06:00,105,2024,1,30
